Chess v0.64 (time per move: 15) vs Chess v0.63 (time per move: 15)
w1. e4, book
b1. c5, book
w2. Nc3, book
b2. Nc6, book
w3. Nf3, book
b3. e5, book
w4. Bc4, book
b4. Be7, book
w5. d3, book
b5. d6, book
w6. Nd2, book
b6. Bg5, book
w7. h4, book
b7. Bxd2+, book
w8. Bxd2, book
b8. Nf6, book
w9. Bg5, book
b9. h6, book
w10. Bxf6, book
b10. Qxf6, book
w11. Nd5, book
b11. Qd8, book
w12. O-O, 7
b12. O-O, 8
w13. h5, 8
b13. Nd4, 8
w14. c3, 8
b14. Ne6, 8
w15. Re1, 8
b15. Bd7, 9
w16. Qf3, 8
b16. Ba4, 8
w17. a3, 7
b17. Re8, 8
w18. Rac1, 7
b18. Bc6, 8
w19. Bb3, 8
b19. Qd7, 8
w20. Rcd1, 8
b20. Rad8, 8
w21. Qg4, 9
b21. Ng5, 9
w22. Qg3, 9
b22. Bxd5, 8
w23. Bxd5, 9
b23. Qb5, 8
w24. Rd2, 9
b24. Ne6, 9
w25. Qf3, 9
b25. Qd7, 9
w26. c4, 9
b26. Nd4, 10
w27. Qe3, 10
b27. Qe7, 8
w28. Qg3, 10
b28. Qd7, 9
w29. Qg6, 10
b29. Qe7, 9
w30. Qg4, 9
b30. Qc7, 9
w31. Qg6, 10
b31. Ne6, 9
w32. Qg4, 10
b32. Nd4, 10
w33. Qg3, 10
b33. Qe7, 9
w34. Qe3, 10
b34. Qd7, 9
w35. Qg3, 10
b35. Qe7, 9
w36. Rdd1, 9
b36. Qc7, 9
w37. Qg6, 10
b37. Nc2, 9
w38. Re2, 9
b38. Nd4, 10
w39. Re3, 10
b39. Ne6, 9
w40. Qg4, 9
b40. Qb6, 9
w41. Rg3, 10
b41. Re7, 9
w42. Rd2, 9
b42. Qc7, 9
w43. Qf5, 9
b43. Ree8, 9
w44. Rd1, 9
b44. Qe7, 8
w45. Re1, 8
b45. Nf4, 9
w46. Qg4, 7
b46. Ne6, 9
w47. Rf3, 9
b47. Ng5, 8
w48. Rf5, 9
b48. Qc7, 9
w49. Qe2, 9
b49. Ne6, 9
w50. Qd2, 8
b50. Re7, 9
w51. Rf3, 9
b51. Nf4, 9
w52. g4, 9
b52. Ne6, 9
w53. Rg3, 9
b53. Ree8, 9
w54. Rf3, 10
b54. Re7, 9
w55. Qc3, 9
b55. Nd4, 10
w56. Rg3, 10
b56. Ree8, 10
w57. Rge3, 10
b57. Qe7, 9
w58. Rg3, 8
b58. Qf6, 9
w59. Ree3, 9
b59. Re7, 9
w60. Qa5, 10
