Chess v0.64 (time per move: 15) vs Chess v0.63 (time per move: 15)
w1. e4, book
b60. Ra8, 9
w61. Qc3, 10
b61. Rae8, 9
w62. Rh3, 10
b62. Rd8, 9
w63. Rhg3, 10
b63. Red7, 9
w64. Rh3, 10
b64. Re8, 9
w65. Rhg3, 10
b65. Qf4, 9
w66. Qd2, 9
b66. a6, 8
w67. Qc3, 10
b67. Red8, 9
w68. Qd2, 10
b68. Re7, 9
w69. Qc3, 10
b69. Rde8, 9
w70. Kg2, 9
b70. Qf6, 9
w71. Kg1, 9
b71. Rd8, 10
w72. Rh3, 10
b72. Rde8, 9
w73. Rhg3, 9
b73. Rd7, 9
w74. a4, 10
b74. Red8, 9
w75. a5, 10
b75. Re8, 10
w76. Rh3, 10
b76. Red8, 9
w77. Rhg3, 10
b77. Re7, 10
w78. Rh3, 10
b78. Rde8, 9
w79. Rhg3, 10
b79. Rc7, 10
w80. Rh3, 10
b80. Rd8, 9
w81. Rhg3, 10
b81. Rcd7, 10
w82. Rh3, 10
b82. Re7, 9
w83. Rhg3, 10
b83. Rde8, 10
w84. Rh3, 10
b84. Rd7, 9
w85. Rhg3, 10
b85. Qf4, 9
w86. Qd2, 10
b86. Qf6, 9
w87. Qd1, 10
b87. Red8, 9
w88. Re1, 10
b88. Re7, 9
w89. Ree3, 10
b89. Rdd7, 7
w90. g5, 10
b90. hxg5, 9
w91. b4, 10
b91. cxb4, 9
w92. f4, 9
b92. exf4, 9
w93. Rgf3, 9
b93. Qe5, 8
w94. Re1, 9
b94. Nxf3+, 8
w95. Qxf3, 9
b95. Qd4+, 8
w96. Kh1, 9
b96. b3, 9
w97. Rd1, 9
b97. b2, 8
w98. Rb1, 8
b98. Qc3, 8
w99. Qe2, 9
b99. Qc1+, 8
w100. Qe1, 10
b100. Qc2, 10
w101. Qd1, 9
b101. Qf2, 9
w102. d4, 9
b102. f3, 9
w103. Qg1, 9
b103. Qc2, 9
w104. Qf1, 8
b104. g4, 9
w105. Qg1, 9
b105. g3, 9
w106. h6, 10
b106. Rxe4, 9
w107. Bxe4, 9
b107. Qxe4, 10
w108. c5, 10
b108. f2+, 17
w109. Qg2, 18
b109. Qxb1+, 17
w110. Qf1, 18
b110. Qxf1#, 0
And black wins the game

PGN: 1. e4 c5 2. Nc3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. d3 d6 6. Nd2 Bg5 7. h4 Bxd2+ 8. Bxd2 Nf6 9. Bg5 h6 10. Bxf6 Qxf6 11. Nd5 Qd8 12. O-O O-O 13. h5 Nd4 14. c3 Ne6 15. Re1 Bd7 16. Qf3 Ba4 17. a3 Re8 18. Rac1 Bc6 19. Bb3 Qd7 20. Rcd1 Rad8 21. Qg4 Ng5 22. Qg3 Bxd5 23. Bxd5 Qb5 24. Rd2 Ne6 25. Qf3 Qd7 26. c4 Nd4 27. Qe3 Qe7 28. Qg3 Qd7 29. Qg6 Qe7 30. Qg4 Qc7 31. Qg6 Ne6 32. Qg4 Nd4 33. Qg3 Qe7 34. Qe3 Qd7 35. Qg3 Qe7 36. Rdd1 Qc7 37. Qg6 Nc2 38. Re2 Nd4 39. Re3 Ne6 40. Qg4 Qb6 41. Rg3 Re7 42. Rd2 Qc7 43. Qf5 Ree8 44. Rd1 Qe7 45. Re1 Nf4 46. Qg4 Ne6 47. Rf3 Ng5 48. Rf5 Qc7 49. Qe2 Ne6 50. Qd2 Re7 51. Rf3 Nf4 52. g4 Ne6 53. Rg3 Ree8 54. Rf3 Re7 55. Qc3 Nd4 56. Rg3 Ree8 57. Rge3 Qe7 58. Rg3 Qf6 59. Ree3 Re7 60. Qa5 Ra8 61. Qc3 Rae8 62. Rh3 Rd8 63. Rhg3 Red7 64. Rh3 Re8 65. Rhg3 Qf4 66. Qd2 a6 67. Qc3 Red8 68. Qd2 Re7 69. Qc3 Rde8 70. Kg2 Qf6 71. Kg1 Rd8 72. Rh3 Rde8 73. Rhg3 Rd7 74. a4 Red8 75. a5 Re8 76. Rh3 Red8 77. Rhg3 Re7 78. Rh3 Rde8 79. Rhg3 Rc7 80. Rh3 Rd8 81. Rhg3 Rcd7 82. Rh3 Re7 83. Rhg3 Rde8 84. Rh3 Rd7 85. Rhg3 Qf4 86. Qd2 Qf6 87. Qd1 Red8 88. Re1 Re7 89. Ree3 Rdd7 90. g5 hxg5 91. b4 cxb4 92. f4 exf4 93. Rgf3 Qe5 94. Re1 Nxf3+ 95. Qxf3 Qd4+ 96. Kh1 b3 97. Rd1 b2 98. Rb1 Qc3 99. Qe2 Qc1+ 100. Qe1 Qc2 101. Qd1 Qf2 102. d4 f3 103. Qg1 Qc2 104. Qf1 g4 105. Qg1 g3 106. h6 Rxe4 107. Bxe4 Qxe4 108. c5 f2+ 109. Qg2 Qxb1+ 110. Qf1 Qxf1#
