Chess v0.67 (time per move: 15) vs Chess v0.65 (time per move: 15)
w1. d4, book
b1. d5, book
w2. c4, book
b2. dxc4, book
w3. e3, book
b3. Nf6, book
w4. Bxc4, book
b4. e6, book
w5. Nf3, book
b5. c5, book
w6. O-O, book
b6. a6, book
w7. Bb3, book
b7. Nc6, book
w8. Nc3, book
b8. Be7, book
w9. Qe2, book
b9. cxd4, book
w10. Rd1, book
b10. O-O, book
w11. Nxd4, book
b11. Qc7, book
w12. Nxc6, book
b12. Qxc6, book
w13. e4, book
b13. b5, book
w14. Bg5, book
b14. h6, book
w15. Bh4, book
b15. Bb7, book
w16. Rac1, book
b16. Qe8, book
w17. e5, 7
b17. Nd7, 7
w18. Bxe7, 7
b18. Qxe7, 8
w19. Bc2, 7
b19. Rfd8, 6
w20. Be4, 7
b20. Bxe4, 8
w21. Qxe4, 7
b21. Rac8, 6
w22. Qb7, 7
b22. Kf8, 6
w23. f4, 7
b23. Qc5+, 7
w24. Kh1, 9
b24. Qc6, 8
w25. Qa7, 8
b25. Kg8, 7
w26. Ne2, 8
b26. Qa8, 7
w27. Rxc8, 8
b27. Qxc8, 8
w28. Rd6, 9
b28. Qc4, 7
w29. Ng1, 9
b29. Qxf4, 8
w30. Rxd7, 9
b30. Rxd7, 9
w31. Qxd7, 10
b31. Qxe5, 8
w32. Qe8+, 9
b32. Kh7, 9
w33. Qxf7, 9
b33. a5, 7
w34. Qf3, 8
b34. a4, 7
w35. b3, 8
b35. axb3, 8
w36. Qxb3, 9
b36. Kg8, 7
w37. Nf3, 10
b37. Qa1+, 10
w38. Ng1, 11
b38. Qe5, 9
w39. h3, 9
b39. Qd5, 9
w40. Ne2, 10
b40. Qf5, 7
w41. Nc3, 9
b41. Qf1+, 10
w42. Kh2, 11
b42. Qf4+, 9
w43. Kg1, 10
b43. Qc1+, 9
w44. Kh2, 11
b44. Qf4+, 10
w45. Kh1, 12
b45. Qf1+, 10
w46. Kh2, 0
Draw by threefold repetition

PGN: 1. d4 d5 2. c4 dxc4 3. e3 Nf6 4. Bxc4 e6 5. Nf3 c5 6. O-O a6 7. Bb3 Nc6 8. Nc3 Be7 9. Qe2 cxd4 10. Rd1 O-O 11. Nxd4 Qc7 12. Nxc6 Qxc6 13. e4 b5 14. Bg5 h6 15. Bh4 Bb7 16. Rac1 Qe8 17. e5 Nd7 18. Bxe7 Qxe7 19. Bc2 Rfd8 20. Be4 Bxe4 21. Qxe4 Rac8 22. Qb7 Kf8 23. f4 Qc5+ 24. Kh1 Qc6 25. Qa7 Kg8 26. Ne2 Qa8 27. Rxc8 Qxc8 28. Rd6 Qc4 29. Ng1 Qxf4 30. Rxd7 Rxd7 31. Qxd7 Qxe5 32. Qe8+ Kh7 33. Qxf7 a5 34. Qf3 a4 35. b3 axb3 36. Qxb3 Kg8 37. Nf3 Qa1+ 38. Ng1 Qe5 39. h3 Qd5 40. Ne2 Qf5 41. Nc3 Qf1+ 42. Kh2 Qf4+ 43. Kg1 Qc1+ 44. Kh2 Qf4+ 45. Kh1 Qf1+ 46. Kh2
