Chess v0.63 (time per move: 15) vs Chess v0.64 (time per move: 15)
w1. d4, book
b1. g6, book
w2. e4, book
b2. d6, book
w3. Nc3, book
b3. Bg7, book
w4. Nge2, book
b4. Nf6, book
w5. g3, book
b5. O-O, book
w6. Bg2, book
b6. c6, book
w7. O-O, book
b7. e5, book
w8. h3, book
b8. b5, book
w9. Be3, 7
b9. Nbd7, 8
w10. a3, 8
b10. Nb6, 7
w11. dxe5, 7
b11. dxe5, 9
w12. Qxd8, 7
b12. Rxd8, 10
w13. Rfd1, 8
b13. Rxd1+, 9
w14. Rxd1, 10
b14. Bb7, 9
w15. g4, 9
b15. h6, 9
w16. Bxb6, 8
b16. axb6, 10
w17. f4, 9
b17. exf4, 9
w18. Nxf4, 9
b18. Rb8, 8
w19. e5, 8
b19. Nd5, 10
w20. Nfxd5, 9
b20. cxd5, 10
w21. b4, 9
b21. Bxe5, 11
w22. Nxb5, 10
b22. Bc6, 9
w23. Nd4, 9
b23. Ba8, 9
w24. Nb5, 9
b24. Rd8, 9
w25. Kf2, 8
b25. f5, 8
w26. gxf5, 9
b26. gxf5, 9
w27. c4, 8
b27. d4, 9
w28. Bxa8, 9
b28. Rxa8, 10
w29. Nxd4, 9
b29. Rxa3, 9
w30. Nxf5, 8
b30. Rxh3, 8
w31. Ne7+, 8
b31. Kf7, 9
w32. Nd5, 8
b32. Rb3, 8
w33. b5, 8
b33. Bd6, 9
w34. Rf1, 8
b34. Bc5+, 8
w35. Ke2+, 9
b35. Kg7, 9
w36. Ra1, 9
b36. Rg3, 8
w37. Ra7+, 9
b37. Kf8, 10
w38. Rb7, 9
b38. Rg6, 10
w39. Rb8+, 9
b39. Kf7, 11
w40. Rb7+, 9
b40. Ke8, 10
w41. Kf3, 8
b41. Rd6, 10
w42. Ke2, 9
b42. Kf8, 11
w43. Rc7, 10
b43. Re6+, 10
w44. Kd3, 11
b44. Kg8, 10
w45. Rc8+, 9
b45. Kf7, 12
w46. Rc7+, 11
b46. Kg8, 11
w47. Rd7, 9
b47. h5, 11
w48. Rd8+, 10
b48. Kg7, 11
w49. Rd7+, 9
b49. Kg8, 11
w50. Rb7, 10
b50. h4, 11
w51. Rb8+, 9
b51. Kh7, 11
w52. Rb7+, 9
b52. Kh6, 11
w53. Rf7, 9
b53. Rg6, 9
w54. Rf3, 9
b54. Kg7, 9
w55. Nf4, 9
b55. Rh6, 10
w56. Ke4, 10
b56. Kg8, 9
w57. Ke5, 9
b57. Bd6+, 9
w58. Ke4, 10
b58. Bc5, 10
w59. Rd3, 9
b59. Kf7, 9
w60. Ke5, 9
b60. Kg8, 9
w61. Ne6, 9
b61. Be7, 9
w62. Nf4, 8
b62. Kf7, 10
w63. Ke4, 9
b63. Bd6, 9
w64. Rd4, 8
b64. Bxf4, 8
w65. Kxf4, 10
b65. h3, 10
w66. Rd7+, 9
b66. Ke6, 10
w67. Rd1, 10
b67. Rh4+, 11
w68. Kg3, 12
b68. Rxc4, 12
w69. Kxh3, 9
b69. Rb4, 11
w70. Re1+, 11
b70. Kd6, 12
w71. Kg3, 11
b71. Rxb5, 11
w72. Kf4, 11
b72. Rb4+, 10
w73. Kf5, 10
b73. Rb2, 10
w74. Rd1+, 11
b74. Kc5, 12
w75. Rc1+, 10
b75. Kd4, 11
w76. Rd1+, 10
b76. Kc4, 10
w77. Ke4, 10
b77. Kc5, 11
w78. Rc1+, 9
b78. Kd6, 11
w79. Rd1+, 10
b79. Ke6, 10
w80. Rh1, 10
b80. Kd6, 10
w81. Kd4, 10
b81. Rd2+, 10
w82. Ke3, 10
b82. Rb2, 11
w83. Rh6+, 10
b83. Ke5, 11
w84. Rh5+, 10
b84. Ke6, 10
w85. Kd4, 10
b85. Rb4+, 9
w86. Kc3, 11
b86. Rb1, 10
w87. Kc4, 9
b87. Kd6, 10
w88. Rb5, 9
b88. Rc1+, 10
w89. Kd4, 10
b89. Kc6, 10
w90. Rg5, 9
b90. Rd1+, 10
w91. Ke3, 10
b91. b5, 10
w92. Rg8, 9
b92. b4, 9
w93. Rb8, 10
b93. Kc5, 10
w94. Rc8+, 10
b94. Kb5, 13
w95. Rb8+, 11
b95. Kc4, 11
w96. Rc8+, 12
b96. Kb3, 13
w97. Rc7, 11
b97. Ka4, 11
w98. Rb7, 10
b98. b3, 12
w99. Ra7+, 11
b99. Kb5, 13
w100. Rb7+, 12
b100. Kc4, 13
w101. Rc7+, 11
b101. Kb4, 12
w102. Rb7+, 10
b102. Ka3, 11
w103. Ra7+, 9
b103. Kb2, 11
w104. Rc7, 9
b104. Rc1, 11
w105. Rd7, 10
b105. Rc3+, 10
w106. Kd2, 12
b106. Rg3, 11
w107. Ra7, 10
b107. Kb1, 12
w108. Re7, 12
b108. b2, 11
w109. Ra7, 12
b109. Rg8, 11
w110. Rc7, 10
b110. Ra8, 10
w111. Rb7, 10
b111. Ka1, 12
w112. Kc2, 11
b112. Rc8+, 13
w113. Kd2, 12
b113. b1=Q, 11
w114. Rxb1+, 13
b114. Kxb1, 16
w115. Kd3, 14
b115. Kb2, 14
w116. Kd4, 14
b116. Rd8+, 14
w117. Ke5, 14
b117. Kc3, 14
w118. Ke4, 14
b118. Kc4, 14
w119. Ke5, 14
b119. Re8+, 13
w120. Kd6, 14
b120. Re3, 14
w121. Kd7, 14
b121. Kd5, 13
w122. Kc7, 13
b122. Kc5, 13
w123. Kd7, 14
b123. Re2, 14
w124. Kc7, 0
b124. Re7+, 14
w125. Kd8, 15
b125. Kd6, 0
w126. Kc8, 15
b126. Re5, 0
w127. Kb7, 0
b127. Rb5+, 13
w128. Ka7, 19
b128. Kc6, 0
w129. Ka6, 0
b129. Rg5, 0
w130. Ka7, 0
b130. Rg8, 0
w131. Ka6, 18
b131. Ra8#, 0
And black wins the game

PGN: 1. d4 g6 2. e4 d6 3. Nc3 Bg7 4. Nge2 Nf6 5. g3 O-O 6. Bg2 c6 7. O-O e5 8. h3 b5 9. Be3 Nbd7 10. a3 Nb6 11. dxe5 dxe5 12. Qxd8 Rxd8 13. Rfd1 Rxd1+ 14. Rxd1 Bb7 15. g4 h6 16. Bxb6 axb6 17. f4 exf4 18. Nxf4 Rb8 19. e5 Nd5 20. Nfxd5 cxd5 21. b4 Bxe5 22. Nxb5 Bc6 23. Nd4 Ba8 24. Nb5 Rd8 25. Kf2 f5 26. gxf5 gxf5 27. c4 d4 28. Bxa8 Rxa8 29. Nxd4 Rxa3 30. Nxf5 Rxh3 31. Ne7+ Kf7 32. Nd5 Rb3 33. b5 Bd6 34. Rf1 Bc5+ 35. Ke2+ Kg7 36. Ra1 Rg3 37. Ra7+ Kf8 38. Rb7 Rg6 39. Rb8+ Kf7 40. Rb7+ Ke8 41. Kf3 Rd6 42. Ke2 Kf8 43. Rc7 Re6+ 44. Kd3 Kg8 45. Rc8+ Kf7 46. Rc7+ Kg8 47. Rd7 h5 48. Rd8+ Kg7 49. Rd7+ Kg8 50. Rb7 h4 51. Rb8+ Kh7 52. Rb7+ Kh6 53. Rf7 Rg6 54. Rf3 Kg7 55. Nf4 Rh6 56. Ke4 Kg8 57. Ke5 Bd6+ 58. Ke4 Bc5 59. Rd3 Kf7 60. Ke5 Kg8 61. Ne6 Be7 62. Nf4 Kf7 63. Ke4 Bd6 64. Rd4 Bxf4 65. Kxf4 h3 66. Rd7+ Ke6 67. Rd1 Rh4+ 68. Kg3 Rxc4 69. Kxh3 Rb4 70. Re1+ Kd6 71. Kg3 Rxb5 72. Kf4 Rb4+ 73. Kf5 Rb2 74. Rd1+ Kc5 75. Rc1+ Kd4 76. Rd1+ Kc4 77. Ke4 Kc5 78. Rc1+ Kd6 79. Rd1+ Ke6 80. Rh1 Kd6 81. Kd4 Rd2+ 82. Ke3 Rb2 83. Rh6+ Ke5 84. Rh5+ Ke6 85. Kd4 Rb4+ 86. Kc3 Rb1 87. Kc4 Kd6 88. Rb5 Rc1+ 89. Kd4 Kc6 90. Rg5 Rd1+ 91. Ke3 b5 92. Rg8 b4 93. Rb8 Kc5 94. Rc8+ Kb5 95. Rb8+ Kc4 96. Rc8+ Kb3 97. Rc7 Ka4 98. Rb7 b3 99. Ra7+ Kb5 100. Rb7+ Kc4 101. Rc7+ Kb4 102. Rb7+ Ka3 103. Ra7+ Kb2 104. Rc7 Rc1 105. Rd7 Rc3+ 106. Kd2 Rg3 107. Ra7 Kb1 108. Re7 b2 109. Ra7 Rg8 110. Rc7 Ra8 111. Rb7 Ka1 112. Kc2 Rc8+ 113. Kd2 b1=Q 114. Rxb1+ Kxb1 115. Kd3 Kb2 116. Kd4 Rd8+ 117. Ke5 Kc3 118. Ke4 Kc4 119. Ke5 Re8+ 120. Kd6 Re3 121. Kd7 Kd5 122. Kc7 Kc5 123. Kd7 Re2 124. Kc7 Re7+ 125. Kd8 Kd6 126. Kc8 Re5 127. Kb7 Rb5+ 128. Ka7 Kc6 129. Ka6 Rg5 130. Ka7 Rg8 131. Ka6 Ra8#
