Chess v0.65 (time per move: 15) vs Chess v0.67 (time per move: 15)
w1. e4, book
b1. e5, book
w2. Nf3, book
b2. Nc6, book
w3. Nc3, book
b3. Nf6, book
w4. Bb5, book
b4. Nd4, book
w5. Ba4, book
b5. c6, book
w6. O-O, book
b6. Qa5, book
w7. Re1, book
b7. d6, book
w8. h3, book
b8. Be7, 6
w9. d3, 7
b9. O-O, 7
w10. Be3, 7
b10. Nxf3+, 7
w11. Qxf3, 8
b11. d5, 8
w12. exd5, 6
b12. cxd5, 8
w13. d4, 6
b13. e4, 8
w14. Qf4, 7
b14. Bb4, 8
w15. Bb3, 7
b15. Bxc3, 9
w16. bxc3, 8
b16. Qxc3, 9
w17. f3, 7
b17. Be6, 8
w18. fxe4, 7
b18. Nxe4, 8
w19. Rad1, 7
b19. Rfe8, 8
w20. Ba4, 7
b20. Rf8, 7
w21. Qe5, 7
b21. Rad8, 7
w22. Bf4, 7
b22. h6, 7
w23. Be3, 6
b23. g5, 7
w24. Bb3, 6
b24. Rfe8, 8
w25. Qh2, 7
b25. Qc6, 7
w26. Rd3, 7
b26. f5, 8
w27. g3, 7
b27. Qd6, 8
w28. Qg2, 7
b28. Bf7, 8
w29. Bc1, 6
b29. Nxg3, 8
w30. Rxe8+, 8
b30. Rxe8, 10
w31. Rxg3, 7
b31. Re1+, 8
w32. Kf2, 8
b32. Rxc1, 8
w33. Rxg5+, 7
b33. hxg5, 9
w34. Qxg5+, 8
b34. Bg6, 8
w35. Bxd5+, 8
b35. Kg7, 9
w36. Qxc1, 8
b36. Qxd5, 9
w37. Qb2, 8
b37. a6, 8
w38. a4, 7
b38. f4, 8
w39. c4, 8
b39. Qxc4, 7
w40. Qxb7+, 8
b40. Kh6, 9
w41. Qd7, 7
b41. Qc2+, 8
w42. Ke1, 8
b42. Qc3+, 7
w43. Ke2, 8
b43. Bd3+, 7
w44. Kf3, 9
b44. Bf5+, 8
w45. Kxf4, 9
b45. Bxd7, 9
w46. Ke5, 8
b46. Bxa4, 7
w47. Kd5, 8
b47. Qxh3, 8
w48. Kd6, 9
b48. Qd7+, 11
w49. Ke5, 9
b49. Bc6, 7
w50. d5, 12
b50. Qxd5+, 11
w51. Kf6, 12
b51. Qd4+, 0
w52. Ke6, 0
b52. Kg6, 0
w53. Ke7, 0
b53. Qd7+, 0
w54. Kf8, 0
b54. Qe8#, 0
And black wins the game

PGN: 1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Ba4 c6 6. O-O Qa5 7. Re1 d6 8. h3 Be7 9. d3 O-O 10. Be3 Nxf3+ 11. Qxf3 d5 12. exd5 cxd5 13. d4 e4 14. Qf4 Bb4 15. Bb3 Bxc3 16. bxc3 Qxc3 17. f3 Be6 18. fxe4 Nxe4 19. Rad1 Rfe8 20. Ba4 Rf8 21. Qe5 Rad8 22. Bf4 h6 23. Be3 g5 24. Bb3 Rfe8 25. Qh2 Qc6 26. Rd3 f5 27. g3 Qd6 28. Qg2 Bf7 29. Bc1 Nxg3 30. Rxe8+ Rxe8 31. Rxg3 Re1+ 32. Kf2 Rxc1 33. Rxg5+ hxg5 34. Qxg5+ Bg6 35. Bxd5+ Kg7 36. Qxc1 Qxd5 37. Qb2 a6 38. a4 f4 39. c4 Qxc4 40. Qxb7+ Kh6 41. Qd7 Qc2+ 42. Ke1 Qc3+ 43. Ke2 Bd3+ 44. Kf3 Bf5+ 45. Kxf4 Bxd7 46. Ke5 Bxa4 47. Kd5 Qxh3 48. Kd6 Qd7+ 49. Ke5 Bc6 50. d5 Qxd5+ 51. Kf6 Qd4+ 52. Ke6 Kg6 53. Ke7 Qd7+ 54. Kf8 Qe8#
